"prd_no","logo","model","std","color","sqa","sqa_color","size","prd_name"
PA016473W01002813D01,ASTONE,"610CE",CNS,白,OO30水漂,藍,S,ASTONE 610CE(DJ10A) CNS OO30 白/藍 S
PA016473W01002813E01,ASTONE,"610CE",CNS,白,OO30水漂,藍,M,ASTONE 610CE(DJ10A) CNS OO30 白/藍 M
PA016473W01002813F01,ASTONE,"610CE",CNS,白,OO30水漂,藍,L,ASTONE 610CE(DJ10A) CNS OO30 白/藍 L
PA016473W01002813G01,ASTONE,"610CE",CNS,白,OO30水漂,藍,XL,ASTONE 610CE(DJ10A) CNS OO30 白/藍 XL
PA016473W01002813H01,ASTONE,"610CE",CNS,白,OO30水漂,藍,"2XL",ASTONE 610CE(DJ10A) CNS OO30 白/藍 2XL
PA016473W01002813I01,ASTONE,"610CE",CNS,白,OO30水漂,藍,"3XL",ASTONE 610CE(DJ10A) CNS OO30 白/藍 3XL
PA016543B07000000C01,ASTONE,"627",CNS,抗刮消光黑,素色,素色,XS,ASTONE 627(DJR) CNS 抗刮消光黑 XS
PA016543B07000000D01,ASTONE,"627",CNS,抗刮消光黑,素色,素色,S,ASTONE 627(DJR) CNS 抗刮消光黑 S
PA016543B07000000E01,ASTONE,"627",CNS,抗刮消光黑,素色,素色,M,ASTONE 627(DJR) CNS 抗刮消光黑 M
PA016543B07000000F01,ASTONE,"627",CNS,抗刮消光黑,素色,素色,L,ASTONE 627(DJR) CNS 抗刮消光黑 L
PA016543B07000000G01,ASTONE,"627",CNS,抗刮消光黑,素色,素色,XL,ASTONE 627(DJR) CNS 抗刮消光黑 XL
PA016543B07000000H01,ASTONE,"627",CNS,抗刮消光黑,素色,素色,"2XL",ASTONE 627(DJR) CNS 抗刮消光黑 2XL
PA016543G90000000E01,ASTONE,"627",CNS,翠藍綠#81022,素色,素色,M,ASTONE 627(DJR) CNS 翠藍綠 M
PA016543G90000000F01,ASTONE,"627",CNS,翠藍綠#81022,素色,素色,L,ASTONE 627(DJR) CNS 翠藍綠 L
PA016543G90000000G01,ASTONE,"627",CNS,翠藍綠#81022,素色,素色,XL,ASTONE 627(DJR) CNS 翠藍綠 XL
PA016543H53000000C01,ASTONE,"627",CNS,水泥灰LH-80320,素色,素色,XS,ASTONE 627(DJR) CNS 水泥灰 XS
PA016543H53000000D01,ASTONE,"627",CNS,水泥灰LH-80320,素色,素色,S,ASTONE 627(DJR) CNS 水泥灰 S
PA016543H53000000E01,ASTONE,"627",CNS,水泥灰LH-80320,素色,素色,M,ASTONE 627(DJR) CNS 水泥灰 M
PA016543H53000000F01,ASTONE,"627",CNS,水泥灰LH-80320,素色,素色,L,ASTONE 627(DJR) CNS 水泥灰 L
PA016543H53000000G01,ASTONE,"627",CNS,水泥灰LH-80320,素色,素色,XL,ASTONE 627(DJR) CNS 水泥灰 XL
PA016543H53000000H01,ASTONE,"627",CNS,水泥灰LH-80320,素色,素色,"2XL",ASTONE 627(DJR) CNS 水泥灰 2XL
PA016543H62000000D01,ASTONE,"627",CNS,深灰,素色,素色,S,ASTONE 627(DJR) CNS 深灰 S
PA016543H62000000E01,ASTONE,"627",CNS,深灰,素色,素色,M,ASTONE 627(DJR) CNS 深灰 M
PA016543H62000000F01,ASTONE,"627",CNS,深灰,素色,素色,L,ASTONE 627(DJR) CNS 深灰 L
PA016543H62000000G01,ASTONE,"627",CNS,深灰,素色,素色,XL,ASTONE 627(DJR) CNS 深灰 XL
PA016543H62000000H01,ASTONE,"627",CNS,深灰,素色,素色,"2XL",ASTONE 627(DJR) CNS 深灰 2XL
PA016543LK9000000D01,ASTONE,"627",CNS,水泥藍#90928,素色,素色,S,ASTONE 627(DJR) CNS 水泥藍 S
PA016543LK9000000E01,ASTONE,"627",CNS,水泥藍#90928,素色,素色,M,ASTONE 627(DJR) CNS 水泥藍 M
PA016543LK9000000F01,ASTONE,"627",CNS,水泥藍#90928,素色,素色,L,ASTONE 627(DJR) CNS 水泥藍 L
PA016543LK9000000G01,ASTONE,"627",CNS,水泥藍#90928,素色,素色,XL,ASTONE 627(DJR) CNS 水泥藍 XL
PA016543LK9000000H01,ASTONE,"627",CNS,水泥藍#90928,素色,素色,"2XL",ASTONE 627(DJR) CNS 水泥藍 2XL
PA016543M06000000D01,ASTONE,"627",CNS,變色龍502-3,素色,素色,S,ASTONE 627(DJR) CNS 變色龍(綠紫) S
PA016543M06000000E01,ASTONE,"627",CNS,變色龍502-3,素色,素色,M,ASTONE 627(DJR) CNS 變色龍(綠紫) M
PA016543M06000000F01,ASTONE,"627",CNS,變色龍502-3,素色,素色,L,ASTONE 627(DJR) CNS 變色龍(綠紫) L
PA016543M06000000G01,ASTONE,"627",CNS,變色龍502-3,素色,素色,XL,ASTONE 627(DJR) CNS 變色龍(綠紫) XL
PA016543M06000000H01,ASTONE,"627",CNS,變色龍502-3,素色,素色,"2XL",ASTONE 627(DJR) CNS 變色龍(綠紫) 2XL
PA016543M07000000D01,ASTONE,"627",CNS,抗刮消光變色龍502-3,素色,素色,S,ASTONE 627(DJR) CNS 抗刮消光變色龍502-3 S
PA016543M07000000E01,ASTONE,"627",CNS,抗刮消光變色龍502-3,素色,素色,M,ASTONE 627(DJR) CNS 抗刮消光變色龍502-3 M
PA016543M07000000F01,ASTONE,"627",CNS,抗刮消光變色龍502-3,素色,素色,L,ASTONE 627(DJR) CNS 抗刮消光變色龍502-3 L
PA016543M07000000G01,ASTONE,"627",CNS,抗刮消光變色龍502-3,素色,素色,XL,ASTONE 627(DJR) CNS 抗刮消光變色龍502-3 XL
PA016543M07000000H01,ASTONE,"627",CNS,抗刮消光變色龍502-3,素色,素色,"2XL",ASTONE 627(DJR) CNS 抗刮消光變色龍502-3 2XL
PA016543RB8000000D01,ASTONE,"627",CNS,玫瑰金iPhone6,素色,素色,S,ASTONE 627(DJR) CNS 玫瑰金iPhone6 S
PA016543RB8000000E01,ASTONE,"627",CNS,玫瑰金iPhone6,素色,素色,M,ASTONE 627(DJR) CNS 玫瑰金iPhone6 M
PA016543RB8000000F01,ASTONE,"627",CNS,玫瑰金iPhone6,素色,素色,L,ASTONE 627(DJR) CNS 玫瑰金iPhone6 L
PA016543RB8000000G01,ASTONE,"627",CNS,玫瑰金iPhone6,素色,素色,XL,ASTONE 627(DJR) CNS 玫瑰金iPhone6 XL
PA016543RB8000000H01,ASTONE,"627",CNS,玫瑰金iPhone6,素色,素色,"2XL",ASTONE 627(DJR) CNS 玫瑰金iPhone6 2XL
PA016543W01B07113D01,ASTONE,"627",CNS,白,BM1水漂,藍,S,ASTONE 627(DJR) CNS BM1 白/藍 S
PA016543W01B07113E01,ASTONE,"627",CNS,白,BM1水漂,藍,M,ASTONE 627(DJR) CNS BM1 白/藍 M
PA016543W01B07113F01,ASTONE,"627",CNS,白,BM1水漂,藍,L,ASTONE 627(DJR) CNS BM1 白/藍 L
PA016543W01B07113G01,ASTONE,"627",CNS,白,BM1水漂,藍,XL,ASTONE 627(DJR) CNS BM1 白/藍 XL
PA016543W01B07113H01,ASTONE,"627",CNS,白,BM1水漂,藍,"2XL",ASTONE 627(DJR) CNS BM1 白/藍 2XL
PA016543W01B0711BD01,ASTONE,"627",CNS,白,BM1水漂,紅,S,ASTONE 627(DJR) CNS BM1 白/紅 S
PA016543W01B0711BE01,ASTONE,"627",CNS,白,BM1水漂,紅,M,ASTONE 627(DJR) CNS BM1 白/紅 M
PA016543W01B0711BF01,ASTONE,"627",CNS,白,BM1水漂,紅,L,ASTONE 627(DJR) CNS BM1 白/紅 L
PA016543W01B0711BG01,ASTONE,"627",CNS,白,BM1水漂,紅,XL,ASTONE 627(DJR) CNS BM1 白/紅 XL
PA016543W01B0711BH01,ASTONE,"627",CNS,白,BM1水漂,紅,"2XL",ASTONE 627(DJR) CNS BM1 白/紅 2XL
PA016543W11000000C01,ASTONE,"627",CNS,珍珠白(淺灰底),素色,素色,XS,ASTONE 627(DJR) CNS 珍珠白(淺灰底) XS
PA016543W11000000D01,ASTONE,"627",CNS,珍珠白(淺灰底),素色,素色,S,ASTONE 627(DJR) CNS 珍珠白(淺灰底) S
PA016543W11000000E01,ASTONE,"627",CNS,珍珠白(淺灰底),素色,素色,M,ASTONE 627(DJR) CNS 珍珠白(淺灰底) M
PA016543W11000000F01,ASTONE,"627",CNS,珍珠白(淺灰底),素色,素色,L,ASTONE 627(DJR) CNS 珍珠白(淺灰底) L
PA016543W11000000G01,ASTONE,"627",CNS,珍珠白(淺灰底),素色,素色,XL,ASTONE 627(DJR) CNS 珍珠白(淺灰底) XL
PA016543W11000000H01,ASTONE,"627",CNS,珍珠白(淺灰底),素色,素色,"2XL",ASTONE 627(DJR) CNS 珍珠白(淺灰底) 2XL
PA016623B07000000D01,ASTONE,"627A",CNS,抗刮消光黑,素色,素色,S,ASTONE 627A(DJS) CNS 抗刮消光黑 S
PA016623B07000000E01,ASTONE,"627A",CNS,抗刮消光黑,素色,素色,M,ASTONE 627A(DJS) CNS 抗刮消光黑 M
PA016623B07000000F01,ASTONE,"627A",CNS,抗刮消光黑,素色,素色,L,ASTONE 627A(DJS) CNS 抗刮消光黑 L
PA016623B07000000G01,ASTONE,"627A",CNS,抗刮消光黑,素色,素色,XL,ASTONE 627A(DJS) CNS 抗刮消光黑 XL
PA016623B07000000H01,ASTONE,"627A",CNS,抗刮消光黑,素色,素色,"2XL",ASTONE 627A(DJS) CNS 抗刮消光黑 2XL
PA016623B07B0811ID01,ASTONE,"627A",CNS,抗刮消光黑,BM13水漂,土黃,S,ASTONE 627A(DJS) CNS BM13 抗刮消光黑/土黃 S
PA016623B07B0811IE01,ASTONE,"627A",CNS,抗刮消光黑,BM13水漂,土黃,M,ASTONE 627A(DJS) CNS BM13 抗刮消光黑/土黃 M
PA016623B07B0811IF01,ASTONE,"627A",CNS,抗刮消光黑,BM13水漂,土黃,L,ASTONE 627A(DJS) CNS BM13 抗刮消光黑/土黃 L
PA016623B07B0811IG01,ASTONE,"627A",CNS,抗刮消光黑,BM13水漂,土黃,XL,ASTONE 627A(DJS) CNS BM13 抗刮消光黑/土黃 XL
PA016623B07B0811IH01,ASTONE,"627A",CNS,抗刮消光黑,BM13水漂,土黃,"2XL",ASTONE 627A(DJS) CNS BM13 抗刮消光黑/土黃 2XL
PA016623B07B14917D01,ASTONE,"627A",CNS,抗刮消光黑,BM19水漂,咖啡,S,ASTONE 627A(DJS) CNS BM19 抗刮消光黑/咖啡 S
PA016623B07B14917E01,ASTONE,"627A",CNS,抗刮消光黑,BM19水漂,咖啡,M,ASTONE 627A(DJS) CNS BM19 抗刮消光黑/咖啡 M
PA016623B07B14917F01,ASTONE,"627A",CNS,抗刮消光黑,BM19水漂,咖啡,L,ASTONE 627A(DJS) CNS BM19 抗刮消光黑/咖啡 L
PA016623B07B14917G01,ASTONE,"627A",CNS,抗刮消光黑,BM19水漂,咖啡,XL,ASTONE 627A(DJS) CNS BM19 抗刮消光黑/咖啡 XL
PA016623B07B14917H01,ASTONE,"627A",CNS,抗刮消光黑,BM19水漂,咖啡,"2XL",ASTONE 627A(DJS) CNS BM19 抗刮消光黑/咖啡 2XL
PA016623GC1B0811KD01,ASTONE,"627A",CNS,抗刮消光石墨綠,BM13水漂,卡其,S,ASTONE 627A(DJS) CNS BM13 抗刮消光石墨綠/卡其 S
PA016623GC1B0811KE01,ASTONE,"627A",CNS,抗刮消光石墨綠,BM13水漂,卡其,M,ASTONE 627A(DJS) CNS BM13 抗刮消光石墨綠/卡其 M
PA016623GC1B0811KF01,ASTONE,"627A",CNS,抗刮消光石墨綠,BM13水漂,卡其,L,ASTONE 627A(DJS) CNS BM13 抗刮消光石墨綠/卡其 L
PA016623GC1B0811KG01,ASTONE,"627A",CNS,抗刮消光石墨綠,BM13水漂,卡其,XL,ASTONE 627A(DJS) CNS BM13 抗刮消光石墨綠/卡其 XL
PA016623GC1B0811KH01,ASTONE,"627A",CNS,抗刮消光石墨綠,BM13水漂,卡其,"2XL",ASTONE 627A(DJS) CNS BM13 抗刮消光石墨綠/卡其 2XL
PA016623H53000000D01,ASTONE,"627A",CNS,水泥灰LH-80320,素色,素色,S,ASTONE 627A(DJS) CNS 水泥灰 S
PA016623H53000000E01,ASTONE,"627A",CNS,水泥灰LH-80320,素色,素色,M,ASTONE 627A(DJS) CNS 水泥灰 M
PA016623H53000000F01,ASTONE,"627A",CNS,水泥灰LH-80320,素色,素色,L,ASTONE 627A(DJS) CNS 水泥灰 L
PA016623H53000000G01,ASTONE,"627A",CNS,水泥灰LH-80320,素色,素色,XL,ASTONE 627A(DJS) CNS 水泥灰 XL
PA016623H53000000H01,ASTONE,"627A",CNS,水泥灰LH-80320,素色,素色,"2XL",ASTONE 627A(DJS) CNS 水泥灰 2XL
PA016623H75B0811KD01,ASTONE,"627A",CNS,抗刮消光暖灰1C,BM13水漂,卡其,S,ASTONE 627A(DJS) CNS BM13 抗刮消光暖灰/卡其 S
PA016623H75B0811KE01,ASTONE,"627A",CNS,抗刮消光暖灰1C,BM13水漂,卡其,M,ASTONE 627A(DJS) CNS BM13 抗刮消光暖灰/卡其 M
PA016623H75B0811KF01,ASTONE,"627A",CNS,抗刮消光暖灰1C,BM13水漂,卡其,L,ASTONE 627A(DJS) CNS BM13 抗刮消光暖灰/卡其 L
PA016623H75B0811KG01,ASTONE,"627A",CNS,抗刮消光暖灰1C,BM13水漂,卡其,XL,ASTONE 627A(DJS) CNS BM13 抗刮消光暖灰/卡其 XL
PA016623H75B0811KH01,ASTONE,"627A",CNS,抗刮消光暖灰1C,BM13水漂,卡其,"2XL",ASTONE 627A(DJS) CNS BM13 抗刮消光暖灰/卡其 2XL
PA016623H75B14917E01,ASTONE,"627A",CNS,抗刮消光暖灰1C,BM19水漂,咖啡,M,ASTONE 627A(DJS) CNS BM19 抗刮消光暖灰/咖啡 M
PA016623H75B14917F01,ASTONE,"627A",CNS,抗刮消光暖灰1C,BM19水漂,咖啡,L,ASTONE 627A(DJS) CNS BM19 抗刮消光暖灰/咖啡 L
PA016623H75B14917G01,ASTONE,"627A",CNS,抗刮消光暖灰1C,BM19水漂,咖啡,XL,ASTONE 627A(DJS) CNS BM19 抗刮消光暖灰/咖啡 XL
PA016623H75B14917H01,ASTONE,"627A",CNS,抗刮消光暖灰1C,BM19水漂,咖啡,"2XL",ASTONE 627A(DJS) CNS BM19 抗刮消光暖灰/咖啡 2XL
PA016623LG6000000D01,ASTONE,"627A",CNS,抗刮消光寶藍(L-06),素色,素色,S,ASTONE 627A(DJS) CNS 抗刮消光寶藍(L-06) S
PA016623LG6000000E01,ASTONE,"627A",CNS,抗刮消光寶藍(L-06),素色,素色,M,ASTONE 627A(DJS) CNS 抗刮消光寶藍(L-06) M
PA016623LG6000000F01,ASTONE,"627A",CNS,抗刮消光寶藍(L-06),素色,素色,L,ASTONE 627A(DJS) CNS 抗刮消光寶藍(L-06) L
PA016623LG6000000G01,ASTONE,"627A",CNS,抗刮消光寶藍(L-06),素色,素色,XL,ASTONE 627A(DJS) CNS 抗刮消光寶藍(L-06) XL
PA016623LG6000000H01,ASTONE,"627A",CNS,抗刮消光寶藍(L-06),素色,素色,"2XL",ASTONE 627A(DJS) CNS 抗刮消光寶藍(L-06) 2XL
PA016623LL1B14917E01,ASTONE,"627A",CNS,抗刮消光水泥藍,BM19水漂,咖啡,M,ASTONE 627A(DJS) CNS BM19 抗刮消光水泥藍/咖啡 M
PA016623LL1B14917F01,ASTONE,"627A",CNS,抗刮消光水泥藍,BM19水漂,咖啡,L,ASTONE 627A(DJS) CNS BM19 抗刮消光水泥藍/咖啡 L
PA016623LL1B14917G01,ASTONE,"627A",CNS,抗刮消光水泥藍,BM19水漂,咖啡,XL,ASTONE 627A(DJS) CNS BM19 抗刮消光水泥藍/咖啡 XL
PA016623LL1B14917H01,ASTONE,"627A",CNS,抗刮消光水泥藍,BM19水漂,咖啡,"2XL",ASTONE 627A(DJS) CNS BM19 抗刮消光水泥藍/咖啡 2XL
PA016623LL9B081C7D01,ASTONE,"627A",CNS,ForVN 抗刮消光藍PT-3025C,BM13水漂,淡藍,S,ASTONE 627A(DJS) CNS BM13 抗刮消光藍/淺藍 S
PA016623LL9B081C7E01,ASTONE,"627A",CNS,ForVN 抗刮消光藍PT-3025C,BM13水漂,淡藍,M,ASTONE 627A(DJS) CNS BM13 抗刮消光藍/淺藍 M
PA016623LL9B081C7F01,ASTONE,"627A",CNS,ForVN 抗刮消光藍PT-3025C,BM13水漂,淡藍,L,ASTONE 627A(DJS) CNS BM13 抗刮消光藍/淺藍 L
PA016623LL9B081C7G01,ASTONE,"627A",CNS,ForVN 抗刮消光藍PT-3025C,BM13水漂,淡藍,XL,ASTONE 627A(DJS) CNS BM13 抗刮消光藍/淺藍 XL
PA016623LL9B081C7H01,ASTONE,"627A",CNS,ForVN 抗刮消光藍PT-3025C,BM13水漂,淡藍,"2XL",ASTONE 627A(DJS) CNS BM13 抗刮消光藍/淺藍 2XL
PA016623M06B14917E01,ASTONE,"627A",CNS,變色龍502-3,BM19水漂,咖啡,M,ASTONE 627A(DJS) CNS BM19 變色龍502-3/咖啡 M
PA016623M06B14917F01,ASTONE,"627A",CNS,變色龍502-3,BM19水漂,咖啡,L,ASTONE 627A(DJS) CNS BM19 變色龍502-3/咖啡 L
PA016623M06B14917G01,ASTONE,"627A",CNS,變色龍502-3,BM19水漂,咖啡,XL,ASTONE 627A(DJS) CNS BM19 變色龍502-3/咖啡 XL
PA016623M06B14917H01,ASTONE,"627A",CNS,變色龍502-3,BM19水漂,咖啡,"2XL",ASTONE 627A(DJS) CNS BM19 變色龍502-3/咖啡 2XL
PA016623M11000000D01,ASTONE,"627A",CNS,平光變色龍502-3,素色,素色,S,ASTONE 627A(DJS) CNS 平光變色龍502-3 S
PA016623M11000000E01,ASTONE,"627A",CNS,平光變色龍502-3,素色,素色,M,ASTONE 627A(DJS) CNS 平光變色龍502-3 M
PA016623M11000000F01,ASTONE,"627A",CNS,平光變色龍502-3,素色,素色,L,ASTONE 627A(DJS) CNS 平光變色龍502-3 L
PA016623M11000000G01,ASTONE,"627A",CNS,平光變色龍502-3,素色,素色,XL,ASTONE 627A(DJS) CNS 平光變色龍502-3 XL
PA016623M11000000H01,ASTONE,"627A",CNS,平光變色龍502-3,素色,素色,"2XL",ASTONE 627A(DJS) CNS 平光變色龍502-3 2XL
PA016623W01B08119D01,ASTONE,"627A",CNS,白,BM13水漂,灰,S,ASTONE 627A(DJS) CNS BM13 白/灰 S
PA016623W01B08119E01,ASTONE,"627A",CNS,白,BM13水漂,灰,M,ASTONE 627A(DJS) CNS BM13 白/灰 M
PA016623W01B08119F01,ASTONE,"627A",CNS,白,BM13水漂,灰,L,ASTONE 627A(DJS) CNS BM13 白/灰 L
PA016623W01B08119G01,ASTONE,"627A",CNS,白,BM13水漂,灰,XL,ASTONE 627A(DJS) CNS BM13 白/灰 XL
PA016623W01B08119H01,ASTONE,"627A",CNS,白,BM13水漂,灰,"2XL",ASTONE 627A(DJS) CNS BM13 白/灰 2XL
PA016623W01B14917D01,ASTONE,"627A",CNS,白,BM19水漂,咖啡,S,ASTONE 627A(DJS) CNS BM19 白/咖啡 S
PA016623W01B14917E01,ASTONE,"627A",CNS,白,BM19水漂,咖啡,M,ASTONE 627A(DJS) CNS BM19 白/咖啡 M
PA016623W01B14917F01,ASTONE,"627A",CNS,白,BM19水漂,咖啡,L,ASTONE 627A(DJS) CNS BM19 白/咖啡 L
PA016623W01B14917G01,ASTONE,"627A",CNS,白,BM19水漂,咖啡,XL,ASTONE 627A(DJS) CNS BM19 白/咖啡 XL
PA016623W01B14917H01,ASTONE,"627A",CNS,白,BM19水漂,咖啡,"2XL",ASTONE 627A(DJS) CNS BM19 白/咖啡 2XL
PA016623W11000000D01,ASTONE,"627A",CNS,珍珠白(淺灰底),素色,素色,S,ASTONE 627A(DJS) CNS 珍珠白 S
PA016623W11000000E01,ASTONE,"627A",CNS,珍珠白(淺灰底),素色,素色,M,ASTONE 627A(DJS) CNS 珍珠白 M
PA016623W11000000F01,ASTONE,"627A",CNS,珍珠白(淺灰底),素色,素色,L,ASTONE 627A(DJS) CNS 珍珠白 L
PA016623W11000000G01,ASTONE,"627A",CNS,珍珠白(淺灰底),素色,素色,XL,ASTONE 627A(DJS) CNS 珍珠白 XL
PA016623W11000000H01,ASTONE,"627A",CNS,珍珠白(淺灰底),素色,素色,"2XL",ASTONE 627A(DJS) CNS 珍珠白 2XL
PA016653B07B1481BD01,ASTONE,"626",CNS,抗刮消光黑,BQ3水漂,紅,S,ASTONE 626(DJ14) CNS BQ3 抗刮消光黑/紅 S
PA016653B07B1481BE01,ASTONE,"626",CNS,抗刮消光黑,BQ3水漂,紅,M,ASTONE 626(DJ14) CNS BQ3 抗刮消光黑/紅 M
PA016653B07B1481BF01,ASTONE,"626",CNS,抗刮消光黑,BQ3水漂,紅,L,ASTONE 626(DJ14) CNS BQ3 抗刮消光黑/紅 L
PA016653B07B1481BG01,ASTONE,"626",CNS,抗刮消光黑,BQ3水漂,紅,XL,ASTONE 626(DJ14) CNS BQ3 抗刮消光黑/紅 XL
PA016653B07B1481BH01,ASTONE,"626",CNS,抗刮消光黑,BQ3水漂,紅,"2XL",ASTONE 626(DJ14) CNS BQ3 抗刮消光黑/紅 2XL
PA016653B07B1481BI01,ASTONE,"626",CNS,抗刮消光黑,BQ3水漂,紅,"3XL",ASTONE 626(DJ14) CNS BQ3 抗刮消光黑/紅 3XL
PA016653H06B120B2D01,ASTONE,"626",CNS,抗刮消光黑灰 PT-417C,BQ1水漂,黑白,S,ASTONE 626(DJ14) CNS BQ1 抗刮消光黑灰/黑白 S
PA016653H06B120B2E01,ASTONE,"626",CNS,抗刮消光黑灰 PT-417C,BQ1水漂,黑白,M,ASTONE 626(DJ14) CNS BQ1 抗刮消光黑灰/黑白 M
PA016653H06B120B2F01,ASTONE,"626",CNS,抗刮消光黑灰 PT-417C,BQ1水漂,黑白,L,ASTONE 626(DJ14) CNS BQ1 抗刮消光黑灰/黑白 L
PA016653H06B120B2G01,ASTONE,"626",CNS,抗刮消光黑灰 PT-417C,BQ1水漂,黑白,XL,ASTONE 626(DJ14) CNS BQ1 抗刮消光黑灰/黑白 XL
PA016653H06B120B2H01,ASTONE,"626",CNS,抗刮消光黑灰 PT-417C,BQ1水漂,黑白,"2XL",ASTONE 626(DJ14) CNS BQ1 抗刮消光黑灰/黑白 2XL
PA016653H06B120B2I01,ASTONE,"626",CNS,抗刮消光黑灰 PT-417C,BQ1水漂,黑白,"3XL",ASTONE 626(DJ14) CNS BQ1 抗刮消光黑灰/黑白 3XL
PA016653H53B12113D01,ASTONE,"626",CNS,水泥灰LH-80320,BQ2水漂,藍,S,ASTONE 626(DJ14) CNS BQ2 水泥灰/藍 S
PA016653H53B12113E01,ASTONE,"626",CNS,水泥灰LH-80320,BQ2水漂,藍,M,ASTONE 626(DJ14) CNS BQ2 水泥灰/藍 M
PA016653H53B12113F01,ASTONE,"626",CNS,水泥灰LH-80320,BQ2水漂,藍,L,ASTONE 626(DJ14) CNS BQ2 水泥灰/藍 L
PA016653H53B12113G01,ASTONE,"626",CNS,水泥灰LH-80320,BQ2水漂,藍,XL,ASTONE 626(DJ14) CNS BQ2 水泥灰/藍 XL
PA016653H53B12113H01,ASTONE,"626",CNS,水泥灰LH-80320,BQ2水漂,藍,"2XL",ASTONE 626(DJ14) CNS BQ2 水泥灰/藍 2XL
PA016653H53B12113I01,ASTONE,"626",CNS,水泥灰LH-80320,BQ2水漂,藍,"3XL",ASTONE 626(DJ14) CNS BQ2 水泥灰/藍 3XL
PA016653LG6B1481BD01,ASTONE,"626",CNS,抗刮消光寶藍(L-06),BQ3水漂,紅,S,ASTONE 626(DJ14) CNS BQ3 抗刮消光寶藍/紅 S
PA016653LG6B1481BE01,ASTONE,"626",CNS,抗刮消光寶藍(L-06),BQ3水漂,紅,M,ASTONE 626(DJ14) CNS BQ3 抗刮消光寶藍/紅 M
PA016653LG6B1481BF01,ASTONE,"626",CNS,抗刮消光寶藍(L-06),BQ3水漂,紅,L,ASTONE 626(DJ14) CNS BQ3 抗刮消光寶藍/紅 L
PA016653LG6B1481BG01,ASTONE,"626",CNS,抗刮消光寶藍(L-06),BQ3水漂,紅,XL,ASTONE 626(DJ14) CNS BQ3 抗刮消光寶藍/紅 XL
PA016653LG6B1481BH01,ASTONE,"626",CNS,抗刮消光寶藍(L-06),BQ3水漂,紅,"2XL",ASTONE 626(DJ14) CNS BQ3 抗刮消光寶藍/紅 2XL
PA016653LG6B1481BI01,ASTONE,"626",CNS,抗刮消光寶藍(L-06),BQ3水漂,紅,"3XL",ASTONE 626(DJ14) CNS BQ3 抗刮消光寶藍/紅 3XL
PA016653LK9B1481BD01,ASTONE,"626",CNS,水泥藍#90928,BQ3水漂,紅,S,ASTONE 626(DJ14) CNS BQ3 水泥藍/紅 S
PA016653LK9B1481BE01,ASTONE,"626",CNS,水泥藍#90928,BQ3水漂,紅,M,ASTONE 626(DJ14) CNS BQ3 水泥藍/紅 M
PA016653LK9B1481BF01,ASTONE,"626",CNS,水泥藍#90928,BQ3水漂,紅,L,ASTONE 626(DJ14) CNS BQ3 水泥藍/紅 L
PA016653LK9B1481BG01,ASTONE,"626",CNS,水泥藍#90928,BQ3水漂,紅,XL,ASTONE 626(DJ14) CNS BQ3 水泥藍/紅 XL
PA016653LK9B1481BH01,ASTONE,"626",CNS,水泥藍#90928,BQ3水漂,紅,"2XL",ASTONE 626(DJ14) CNS BQ3 水泥藍/紅 2XL
PA016653LK9B1481BI01,ASTONE,"626",CNS,水泥藍#90928,BQ3水漂,紅,"3XL",ASTONE 626(DJ14) CNS BQ3 水泥藍/紅 3XL
PA016653LN9B1201KD01,ASTONE,"626",CNS,抗刮消光淺藍灰#444C,BQ1水漂,卡其,S,ASTONE 626(DJ14) CNS BQ1 抗刮消光淺藍灰/卡其 S
PA016653LN9B1201KE01,ASTONE,"626",CNS,抗刮消光淺藍灰#444C,BQ1水漂,卡其,M,ASTONE 626(DJ14) CNS BQ1 抗刮消光淺藍灰/卡其 M
PA016653LN9B1201KF01,ASTONE,"626",CNS,抗刮消光淺藍灰#444C,BQ1水漂,卡其,L,ASTONE 626(DJ14) CNS BQ1 抗刮消光淺藍灰/卡其 L
PA016653LN9B1201KG01,ASTONE,"626",CNS,抗刮消光淺藍灰#444C,BQ1水漂,卡其,XL,ASTONE 626(DJ14) CNS BQ1 抗刮消光淺藍灰/卡其 XL
PA016653LN9B1201KH01,ASTONE,"626",CNS,抗刮消光淺藍灰#444C,BQ1水漂,卡其,"2XL",ASTONE 626(DJ14) CNS BQ1 抗刮消光淺藍灰/卡其 2XL
PA016653LN9B1201KI01,ASTONE,"626",CNS,抗刮消光淺藍灰#444C,BQ1水漂,卡其,"3XL",ASTONE 626(DJ14) CNS BQ1 抗刮消光淺藍灰/卡其 3XL
PA016653W01B120D3D01,ASTONE,"626",CNS,白,BQ1水漂,紅藍,S,ASTONE 626(DJ14) CNS BQ1 白/紅藍 S
PA016653W01B120D3E01,ASTONE,"626",CNS,白,BQ1水漂,紅藍,M,ASTONE 626(DJ14) CNS BQ1 白/紅藍 M
PA016653W01B120D3F01,ASTONE,"626",CNS,白,BQ1水漂,紅藍,L,ASTONE 626(DJ14) CNS BQ1 白/紅藍 L
PA016653W01B120D3G01,ASTONE,"626",CNS,白,BQ1水漂,紅藍,XL,ASTONE 626(DJ14) CNS BQ1 白/紅藍 XL
PA016653W01B120D3H01,ASTONE,"626",CNS,白,BQ1水漂,紅藍,"2XL",ASTONE 626(DJ14) CNS BQ1 白/紅藍 2XL
PA016653W01B120D3I01,ASTONE,"626",CNS,白,BQ1水漂,紅藍,"3XL",ASTONE 626(DJ14) CNS BQ1 白/紅藍 3XL
